Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0194866230589182,-4.52821466575289E-08,-0.0138913433602023,0,0,0,0.903090596787696,0.0180645207120678,-9.36645843785957E-09,0.000714315186526493,0.0526376386693268,-3.23548170887733E-12,0.070501882923323,0,0,0,0,0,0,package://toycar3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar3/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rear_axle,2.64544163842131E-16,-5.55111512312578E-17,2.77555756156289E-17,0,0,0,2.03106793667197,0.000128290910385331,1.70327418145342E-17,9.34665928195229E-18,0.103528744925387,-2.24666018215923E-34,0.103528744925387,0,0,0,0,0,0,package://toycar3/meshes/link_rear_axle.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://toycar3/meshes/link_rear_axle.STL,,Rear Axel-1,Origin_joint_rear_axle,Axis_joint_rear_axle,joint_rear_axle,revolute,0.19685,0,-0.04191,-0.667881894752791,0,1.5707963267949,base_link,1,0,0,0,13.58,0,0,,,,,,,,
link_r_l_rim,0.0381,0,0,0,0,0,7.74226211748073,0.0281102715780439,-1.4269500038313E-19,-3.61755094790608E-18,0.0178013841598073,4.33680868994202E-18,0.0178013841598073,0,0,0,0,0,0,package://toycar3/meshes/link_r_l_rim.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://toycar3/meshes/link_r_l_rim.STL,,Rim-1,Origin_joint_r_l_rim,Axis_joint_r_l_rim,joint_r_l_rim,fixed,-0.36322,0,0,-0.645429670899287,0,0,link_rear_axle,0,0,0,,,,,,,,,,,,
link_r_l_tyre,0.0381,0,-2.77555756156289E-17,0,0,0,0.544257263030236,0.00508440606902419,-1.23815831046327E-19,4.02909765679665E-19,0.00280555279637453,-1.24683249835833E-18,0.00280555279637453,0,0,0,0,0,0,package://toycar3/meshes/link_r_l_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://toycar3/meshes/link_r_l_tyre.STL,,Tyre-1,Origin_joint_r_l_tyre,Axis_joint_r_l_tyre,joint_r_l_tyre,fixed,0,0,0,0.00846878916446956,0,0,link_r_l_rim,0,0,0,,,,,,,,,,,,
link_r_r_rim,0.0381,-6.93889390390723E-18,0,0,0,0,7.74226211748073,0.0281102715780439,-2.77957676458445E-18,-9.23432583231778E-20,0.0178013841598073,8.67361737988404E-19,0.0178013841598073,0,0,0,0,0,0,package://toycar3/meshes/link_r_r_rim.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://toycar3/meshes/link_r_r_rim.STL,,Rim-2,Origin_joint_r_r_rim,Axis_joint_r_r_rim,joint_r_r_rim,fixed,0.28702,0,0,-0.621491575350701,0,0,link_rear_axle,0,0,0,,,,,,,,,,,,
link_r_r_tyre,0.0381,0,-2.77555756156289E-17,0,0,0,0.544257263030236,0.00508440606902418,-4.437551776778E-19,1.70523028282642E-19,0.00280555279637453,5.42101086242752E-19,0.00280555279637453,0,0,0,0,0,0,package://toycar3/meshes/link_r_r_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://toycar3/meshes/link_r_r_tyre.STL,,Tyre-2,Origin_joint_r_r_tyre,Axis_joint_r_r_tyre,joint_r_r_tyre,fixed,0,0,0,0.347274971296084,0,0,link_r_r_rim,0,0,0,,,,,,,,,,,,
link_f_l_male,0,0.00139495758888553,-2.77555756156289E-17,0,0,0,0.0198736914795158,1.38179284185265E-06,-2.59401671132815E-22,3.63870617807167E-22,4.6384541819013E-06,-3.41550258992647E-23,3.37441763239287E-06,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_male.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_male.STL,,male-1,Origin_joint_f_l_male2,Axis_joint_f_l_male,joint_f_l_male,fixed,-0.31115,-0.231775,-0.01905,-1.5707963267949,0,0,base_link,0,0,0,0,0,0,0.69,,,,,,,,
link_f_l_screw1,8.05871137210534E-07,-0.00131420373114879,4.74413567264076E-07,0,0,0,0.000125943991766216,7.65573322438364E-10,6.41796368786257E-14,1.01152736126987E-14,8.25148970327899E-11,-3.68494679781155E-13,7.65536297004475E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw1.STL,,Male Part Screw-2,Origin_joint_f_l_screw12,Axis_joint_f_l_screw1,joint_f_l_screw1,fixed,-0.02159,0,-0.012065,3.14159265358979,0,3.14159265358979,link_f_l_male,0,0,0,0,0,0,0,,,,,,,,
link_f_l_screw2,8.05871138653824E-07,-0.00131420373115186,4.74413572287835E-07,0,0,0,0.000125943991766291,7.6557332244084E-10,6.41796377172423E-14,1.01152735806357E-14,8.25148970328198E-11,-3.68494677909906E-13,7.65536297005135E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw2.STL,,Male Part Screw-3,Origin_joint_f_l_screw22,Axis_joint_f_l_screw2,joint_f_l_screw2,fixed,-0.02159,0,0.012065,3.14159265358979,0,3.14159265358979,link_f_l_male,0,0,0,0,0,0,0,,,,,,,,
link_f_l_screw3,0.0246210994003396,-0.0217182225147169,0.0108711258438841,0,0,0,0.000125943991766536,8.28009787691083E-11,-1.3976245373486E-11,3.64129010863095E-13,7.65286030019214E-10,1.94810591345519E-14,7.655375076955E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw3.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw3.STL,,Male Part Screw-4,Origin_joint_f_l_axle,Axis_joint_f_l_axle,joint_f_l_screw3,fixed,0,0.02286,0,3.08708565552536,0.00110848337156834,-1.55048273639759,link_f_l_male,0,0,0,0,13.58,0,0,,,,,,,,
link_f_l_screw4,8.05871144482495E-07,-0.00131420373115914,4.74413583168021E-07,0,0,0,0.000125943991766587,7.65573322446374E-10,6.41796399667039E-14,1.0115273846494E-14,8.25148970329176E-11,-3.68494673538106E-13,7.65536297005775E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_screw4.STL,,Male Part Screw-1,Origin_joint_f_l_screw4,Axis_joint_f_l_screw4,joint_f_l_screw4,fixed,0.02159,0,0.012065,3.14159265358979,0,3.14159265358979,link_f_l_male,0,0,0,,,,,,,,,,,,
link_f_l_female,-5.55111512312578E-17,0.00256379553417314,-2.77555756156289E-17,0,0,0,0.0608610664145253,5.44262463107105E-06,-1.07231695663154E-21,-4.49856259556589E-07,1.88403983131329E-05,-1.64324963805775E-22,1.36613772887221E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_female.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_female.STL,,female-1,Origin_joint_f_l_female,Axis_joint_f_l_female,joint_f_l_female,revolute,0,0.00381,0,0,0.054518,0,link_f_l_male,0,1,0,0,0,0,0,,,,,,,,
link_f_l_box,-0.000118058799892407,0.0218954046217484,-6.36415414712044E-06,0,0,0,0.0316542736439618,8.5762956705751E-06,3.66029913286007E-08,-6.97896757539453E-07,2.37464901569807E-05,1.99393426415151E-09,2.13257150133968E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_box.STL,1,1,1,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_box.STL,,Front Axel Holder-2,Origin_joint_f_l_box,Axis_joint_f_l_box,joint_f_l_box,fixed,0,-0.00380999999999999,0,0,0,0,link_f_l_female,0,0,0,,,,,,,,,,,,
link_f_l_axle,2.08166817117217E-17,-2.22044604925031E-16,0.0600335245901639,0,0,0,0.514392650628072,0.00139291099285096,0,-1.39332476484977E-20,0.00139291099285096,8.02405594864398E-20,3.82801485900708E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_axle.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_axle.STL,,Front Axel-2,Origin_joint_f_l_axle2,Axis_joint_f_l_axle2,joint_f_l_axle,revolute,0,0.02286,0,-3.08708565552535,-0.00110848337156762,-1.55048273639759,link_f_l_box,0,0,1,0,13.58,0,0,,,,,,,,
link_f_l_rim,0.0379613124681336,0.0013164431408594,0.00491317804984565,0,0,0,7.74226211748073,0.0280796614317714,0.000145170077607715,0.000541798135186436,0.0178034345375968,7.65234048971249E-06,0.0178299439282903,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_rim.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_rim.STL,,Rim-3,Origin_joint_f_l_rim,Axis_joint_f_l_rim,joint_f_l_rim,fixed,-6.12381513213217E-05,0.0030097464087871,0.0551629196239977,0.261791991203231,-1.51627806970356,1.59114013472754,link_f_l_axle,0,0,0,,,,,,,,,,,,
link_f_l_tyre,0.0379613124681336,0.000204962217721424,0.00508235492482662,0,0,0,0.544257263030237,0.00507763947732721,4.9963560691611E-06,0.000123892369806174,0.0028055637834439,2.72441363700639E-07,0.00281230840100216,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_l_tyre.STL,,Tyre-4,Origin_joint_f_l_tyre,Axis_joint_f_l_tyre,joint_f_l_tyre,fixed,0,0,0,-0.221485634270223,0,0,link_f_l_rim,0,0,0,,,,,,,,,,,,
link_f_r_male,5.55111512312578E-17,0.00139495758888553,0,0,0,0,0.0198736914795158,1.38179284185265E-06,2.45844317793415E-24,3.26550554442329E-22,4.6384541819013E-06,-5.41831797819583E-23,3.37441763239287E-06,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_male.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_male.STL,,male-2,Origin_joint_f_r_male2,Axis_joint_f_r_male,joint_f_r_male,fixed,-0.31115,0.231775,-0.01905,-1.5707963267949,0,3.14159265358979,base_link,0,0,0,0,0,0,0.69,,,,,,,,
link_f_r_female,-5.55111512312578E-17,0.00637379553417314,5.55111512312578E-17,0,0,0,0.0608610664145253,5.41807492449466E-06,-7.57375835622894E-21,-1.07746278902046E-18,1.88403983131329E-05,6.60324189025663E-22,1.36859269952985E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_female.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_female.STL,,female-2,Origin_joint_f_r_female2,Axis_joint_f_r_female2,joint_f_r_female,revolute,0,0,0,3.1416,0,3.1416,link_f_r_male,0,1,0,0,0,0,0,,,,,,,,
link_f_r_box,-0.000118070441057605,0.0218954029057654,-6.42087200444785E-06,0,0,0,0.0316542496674256,8.57697943582395E-06,3.66031693926522E-08,-7.04116692628444E-07,2.37464804014165E-05,2.01172517497529E-09,2.13250212140382E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_box.STL,1,1,1,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_box.STL,,Front Axel Holder-1,Origin_joint_f_r_box,Axis_joint_f_r_box,joint_f_r_box,fixed,0,0,0,0,0.0550060979108971,0,link_f_r_female,0,0,0,,,,,,,,,,,,
link_f_r_axle,9.43689570931383E-16,-4.44089209850063E-16,0.0600335245901641,0,0,0,0.514392650628071,0.00139291099285096,3.28385662961874E-34,-3.68555797030506E-18,0.00139291099285096,-3.81002449938206E-18,3.82801485900707E-05,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_axle.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_axle.STL,,Front Axel-3,Origin_joint_f_r_axle2,Axis_joint_f_r_axle2,joint_f_r_axle,revolute,0,0.0228600000000001,0,0.0385191950946923,0.0392772905880764,-2.36556290950817,link_f_r_box,0,0,1,0,13.58,0,0,,,,,,,,
link_f_r_rim,0.0382411800183526,0.00463757820344296,-0.00219768838450926,0,0,0,7.74226211748073,0.028079111723839,-0.000511392830693595,0.000242342454322855,0.0178268297289427,-1.2058326409341E-05,0.0178070984448768,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_rim.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_rim.STL,,Rim-4,Origin_joint_f_r_rim,Axis_joint_f_r_rim,joint_f_r_rim,fixed,-0.00516147611615508,0.00505799962266965,0.131246195484364,2.01333622728987,1.51579022888373,-0.775273088484832,link_f_r_axle,0,0,0,,,,,,,,,,,,
link_f_r_tyre,0.0382411800183527,0.00507031070036651,-0.000793041758173,0,0,0,0.544257263030237,0.00507751796045834,-0.000123595462981878,1.93314313574997E-05,0.00281227641991912,-1.05163461416709E-06,0.0028057172813958,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_tyre.STL,,Tyre-3,Origin_joint_f_r_tyre,Axis_joint_f_r_tyre,joint_f_r_tyre,fixed,0,0,0,-0.287388041788395,0,0,link_f_r_rim,0,0,0,,,,,,,,,,,,
