Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_f_r_screw1,8.05871138098713E-07,-0.00131420373115022,4.74413568790633E-07,0,0,0,0.000125943991766257,7.65573322439304E-10,6.41796372995749E-14,1.01152735852706E-14,8.25148970328047E-11,-3.68494679173842E-13,7.65536297004969E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw1.STL,,Male Part Screw-5,Origin_joint_f_r_screw12,Axis_joint_f_r_screw12,joint_f_r_screw1,fixed,-0.0215899999999999,0,-0.0120650000000001,0,0,0,link_f_r_male,0,0,0,0,0,0,0,,,,,,,,
link_f_r_screw2,0.0010496904616594,0.032817882474934,-0.010860287371414,0,0,0,0.000125943991766377,4.30874706675306E-10,-3.41460286606324E-10,-2.63686461607675E-13,4.17212290326871E-10,-2.51812130230202E-13,7.65537519479196E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw2.STL,,Male Part Screw-6,Origin_joint_f_r_axle,Axis_joint_f_r_axle,joint_f_r_screw2,fixed,0,0.0228600000000001,0,3.103073458495,0.0392772905881773,-0.776029744081692,link_f_r_male,0,0,0,0,13.58,0,0,,,,,,,,
link_f_r_screw3,8.05871134823555E-07,-0.00131420373114686,4.7441356504363E-07,0,0,0,0.000125943991766105,7.6557332243721E-10,6.4179636092503E-14,1.01152735324587E-14,8.25148970327546E-11,-3.6849468080585E-13,7.65536297004279E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw3.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw3.STL,,Male Part Screw-8,Origin_joint_f_r_screw3,Axis_joint_f_r_screw3,joint_f_r_screw3,fixed,0.0215900000000001,0,-0.0120650000000001,0,0,0,link_f_r_male,0,0,0,,,,,,,,,,,,
link_f_r_screw4,8.05871137099512E-07,-0.00131420373114918,4.74413569845344E-07,0,0,0,0.00012594399176618,7.65573322439218E-10,6.41796370759181E-14,1.01152735487238E-14,8.25148970327825E-11,-3.68494678940612E-13,7.65536297004515E-10,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_f_r_screw4.STL,,Male Part Screw-7,Origin_joint_f_r_screw4,Axis_joint_f_r_screw4,joint_f_r_screw4,fixed,0.0215900000000001,0,0.012065,0,0,0,link_f_r_male,0,0,0,,,,,,,,,,,,
link_bolt1,-0.0323447106260147,-2.75026398488531E-07,1.21143500073084E-06,0,0,0,0.0117063658666888,1.64769662837341E-07,1.05458450358288E-10,-6.25466583610431E-11,2.01693028215962E-06,8.73717377710326E-12,2.01693100825196E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt1.STL,,Main Bolt-3,Origin_joint_bolt1,,joint_bolt1,fixed,-0.33655,-0.127,0.018952,0.64826,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut1,-0.00326662815978893,-3.62916825813464E-07,1.1128428872853E-09,0,0,0,0.00606203908565631,1.46023443928158E-07,5.98314997670674E-13,1.67890812341134E-11,9.26689649343162E-08,-7.80437191344592E-13,9.26682574598037E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut1.STL,,Main Nut-8,Origin_joint_nut1,Axis_joint_nut1,joint_nut1,fixed,-0.00612066025066367,0,0,2.75637370565625,0,0,link_bolt1,0,0,0,,,,,,,,,,,,
link_bolt2,-0.0323447106260165,-2.75026398460776E-07,1.21143500064758E-06,0,0,0,0.011706365866688,1.64769662837339E-07,1.05458450352678E-10,-6.25466583523467E-11,2.01693028215916E-06,8.73717377734148E-12,2.0169310082515E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt2.STL,,Main Bolt-6,Origin_joint_bolt2,,joint_bolt2,fixed,-0.33655,0.127,0.018952,2.9289,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut2,0.00343734338820644,-2.47055199076307E-07,2.65845047808799E-07,0,0,0,0.0060620390856564,1.46023443928159E-07,1.26718748121109E-11,1.10297243061389E-11,9.2667808797116E-08,-3.00610352019652E-13,9.26694135970062E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut2.STL,,Main Nut-9,Origin_joint_nut2,Axis_joint_nut2,joint_nut2,fixed,-0.00589904061900635,0,0,-0.613466578497017,0,3.14159265358979,link_bolt2,0,0,0,,,,,,,,,,,,
link_frame,0.0200034998571439,8.62712606050573E-06,2.38280805744696E-05,0,0,0,1.94277743950268,0.0512753579869935,4.00940531919505E-06,8.25575550244818E-06,0.216552282390633,-6.41375396655244E-07,0.165316182660774,0,0,0,0,0,0,package://toycar3/meshes/link_frame.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://toycar3/meshes/link_frame.STL,,Pipe Frame-1,Origin_joint_frame2,,joint_frame,fixed,0,0,0,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
link_steering,0.0798858992688731,0.0685286325539076,-1.26113498080732E-05,0,0,0,0.0766121670004509,0.000179279995832022,-0.00020347743176438,7.94408989016115E-08,0.000268784144586104,9.12125509950639E-08,0.00042819555124782,0,0,0,0,0,0,package://toycar3/meshes/link_steering.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://toycar3/meshes/link_steering.STL,,Sheering-2,Origin_joint_steering2,Axis_joint_steering2,joint_steering,revolute,0.236519639540846,0.0900677411099931,0,3.12445442356222,0.0154293517153925,-0.000132221748662137,link_frame,0.743144825477398,0.669130606358854,0,0,0,0,0,,,,,,,,
link_bolt3,-0.0323447106260158,-4.27337812580753E-07,1.1664461681965E-06,0,0,0,0.0117063658666882,1.64769662837338E-07,1.12576542075194E-10,-4.85807718986584E-11,2.0169280827613E-06,8.36085447931125E-12,2.01693320764978E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt3.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt3.STL,,Main Bolt-9,Origin_joint_bolt3,,joint_bolt3,fixed,-0.22225,0,0.018952,1.1441,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut3,-0.00377255990154702,3.61527088182934E-07,3.17493793200452E-08,0,0,0,0.00606203908565632,1.46023443928158E-07,9.24186782188189E-13,-1.67742990410736E-11,9.26690998726587E-08,-7.03852552328847E-13,9.26681225214615E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut3.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut3.STL,,Main Nut-4,Origin_joint_nut3,Axis_joint_nut3,joint_nut3,fixed,-0.00612066025066367,0,0,2.79364393831595,0,0,link_bolt3,0,0,0,,,,,,,,,,,,
link_bolt4,-0.0323447106260165,-2.75026398474654E-07,1.21143500070309E-06,0,0,0,0.011706365866688,1.64769662837338E-07,1.05458450353085E-10,-6.25466583547436E-11,2.01693028215916E-06,8.73717377763265E-12,2.0169310082515E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt4.STL,,Main Bolt-2,Origin_joint_bolt4,,joint_bolt4,fixed,-0.15875,-0.03175,0.018952,3.1074,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut4,-0.00315102503488764,-2.57224762323371E-08,3.62005821923084E-07,0,0,0,0.00606203908565633,1.46023443928158E-07,1.67873669553852E-11,6.44624102278418E-13,9.26681462396645E-08,7.19740839438244E-13,9.26690761544558E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut4.STL,,Main Nut-5,Origin_joint_nut4,Axis_joint_nut4,joint_nut4,fixed,-0.00612066025066366,0,0,2.09918771943033,0,0,link_bolt4,0,0,0,,,,,,,,,,,,
link_bolt5,-0.0133927044531765,-2.75026398439959E-07,1.21143500070309E-06,0,0,0,0.0117063658666882,1.64769662837339E-07,1.05458450350791E-10,-6.25466583552681E-11,2.01693028215931E-06,8.73717377726208E-12,2.01693100825165E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt5.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt5.STL,,Main Bolt-7,Origin_joint_bolt5,Axis_joint_bolt5,joint_bolt5,fixed,-0.15875,0.03175,0,2.8206,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut5,0.013700736584565,-3.35902731379845E-07,1.37401659303787E-07,0,0,0,0.00606203908565631,1.46023443928158E-07,6.86316774507046E-12,1.53338892009772E-11,9.26683215058305E-08,-8.06406378590512E-13,9.26689008882897E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut5.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut5.STL,,Main Nut-6,Origin_joint_nut5,Axis_joint_nut5,joint_nut5,fixed,-0.00381,0,0,1.62931718366426,0,0,link_bolt5,0,0,0,,,,,,,,,,,,
link_bolt6,-0.0323447106260162,-2.7502639843302E-07,1.21143500065451E-06,0,0,0,0.0117063658666881,1.64769662837339E-07,1.0545845035433E-10,-6.25466583558873E-11,2.01693028215924E-06,8.73717377731501E-12,2.01693100825158E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt6.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt6.STL,,Main Bolt-1,Origin_joint_bolt6,,joint_bolt6,fixed,-0.06985,0,0.018952,2.2591,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut6,-0.00288854605234062,2.60770587505454E-07,-2.52405549738821E-07,0,0,0,0.00606203908565633,1.46023443928158E-07,-1.20707469916613E-11,-1.16845323650047E-11,9.2667845042295E-08,-3.8369145362274E-13,9.26693773518254E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut6.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut6.STL,,Main Nut-1,Origin_joint_nut6,Axis_joint_nut6,joint_nut6,fixed,-0.00612066025066367,0,0,2.47520886562172,0,0,link_bolt6,0,0,0,,,,,,,,,,,,
link_bolt8,-0.0323447106260155,-2.7502639843302E-07,1.21143500073084E-06,0,0,0,0.0117063658666884,1.6476966283734E-07,1.05458450350619E-10,-6.25466583600203E-11,2.01693028215944E-06,8.73717377752677E-12,2.01693100825178E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt8.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt8.STL,,Main Bolt-5,Origin_joint_bolt8,,joint_bolt8,fixed,0.19685,-0.1016,0.018952,1.9928,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut8,-0.00324614999975923,-3.60059630805099E-07,-4.54634267177401E-08,0,0,0,0.00606203908565634,1.46023443928158E-07,-1.56089397556883E-12,1.67270690655684E-11,9.26691519116542E-08,-6.64710451015233E-13,9.26680704824667E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut8.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut8.STL,,Main Nut-10,Origin_joint_nut8,Axis_joint_nut8,joint_nut8,fixed,-0.00612066025066366,0,0,-2.60828212454272,0,0,link_bolt8,0,0,0,,,,,,,,,,,,
link_bolt9,-0.0323447106260163,-2.7502639843302E-07,1.21143500068921E-06,0,0,0,0.011706365866688,1.64769662837338E-07,1.05458450352857E-10,-6.25466583514155E-11,2.01693028215921E-06,8.73717377705032E-12,2.01693100825155E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt9.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt9.STL,,Main Bolt-8,Origin_joint_bolt9,,joint_bolt9,fixed,0.19685,0.1016,0.018952,1.9086,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link_nut9,-0.00332793765952536,2.94519433743923E-07,2.12056983084352E-07,0,0,0,0.00606203908565636,1.46023443928159E-07,9.36728681361322E-12,-1.39457938919592E-11,9.26694629780992E-08,9.31735895324879E-14,9.26677594160221E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut9.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut9.STL,,Main Nut-7,Origin_joint_nut9,Axis_joint_nut9,joint_nut9,fixed,-0.00612066025066365,0,0,1.4477105334779,0,0,link_bolt9,0,0,0,,,,,,,,,,,,
link_bolt10,-0.0323447106260133,-2.75026398932621E-07,1.21143500241006E-06,0,0,0,0.0117063658666894,1.64769662837343E-07,1.05458450344105E-10,-6.25466583448814E-11,2.01693028216004E-06,8.73717377752677E-12,2.01693100825238E-06,0,0,0,0,0,0,package://toycar3/meshes/link_bolt10.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_bolt10.STL,,Main Bolt-4,Origin_joint_bolt10,Axis_joint_bolt10,joint_bolt10,fixed,0.31115,0,0.0189520061728395,1.8552395753345,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
link_nut10,0.0133134082626505,-3.35902732656601E-07,1.37401660216252E-07,0,0,0,0.00606203908565635,1.46023443928159E-07,6.86316774508423E-12,1.53338892010387E-11,9.26683215058309E-08,-8.06406378573969E-13,9.26689008882903E-08,0,0,0,0,0,0,package://toycar3/meshes/link_nut10.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://toycar3/meshes/link_nut10.STL,,Main Nut-12,Origin_joint_nut10,Axis_joint_nut10,joint_nut10,fixed,-0.0227620061728395,0,0,2.36818746449955,0,0,link_bolt10,0,0,0,,,,,,,,,,,,
